id,name,created_at,updated_at
76,French Guiana,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
77,French Polynesia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
78,French Southern Territories,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
79,Gabon,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
80,Gambia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
81,Georgia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
82,Germany,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
83,Ghana,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
84,Gibraltar,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
85,Greece,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
86,Greenland,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
87,Grenada,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
88,Guadeloupe,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
89,Guam,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
90,Guatemala,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
91,Guernsey and Alderney,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
92,Guinea,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
93,Guinea-Bissau,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
94,Guyana,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
95,Haiti,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
96,Heard and McDonald Islands,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
97,Honduras,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
98,Hong Kong S.A.R.,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
99,Hungary,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
100,Iceland,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
101,India,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
102,Indonesia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
103,Iran,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
104,Iraq,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
105,Ireland,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
106,Israel,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
107,Italy,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
108,Jamaica,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
109,Japan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
110,Jersey,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
111,Jordan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
112,Kazakhstan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
113,Kenya,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
114,Kiribati,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
115,Korea North,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
116,Korea South,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
117,Kuwait,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
118,Kyrgyzstan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
119,Laos,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
120,Latvia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
121,Lebanon,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
122,Lesotho,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
123,Liberia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
124,Libya,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
125,Liechtenstein,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
126,Lithuania,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
127,Luxembourg,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
128,Macau S.A.R.,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
129,Macedonia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
130,Madagascar,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
131,Malawi,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
132,Malaysia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
133,Maldives,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
134,Mali,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
135,Malta,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
136,Isle of Man,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
137,Marshall Islands,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
138,Martinique,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
139,Mauritania,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
140,Mauritius,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
141,Mayotte,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
142,Mexico,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
143,Micronesia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
144,Moldova,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
145,Monaco,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
146,Mongolia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
147,Montenegro,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
148,Montserrat,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
149,Morocco,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
150,Mozambique,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
151,Myanmar,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
152,Namibia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
153,Nauru,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
154,Nepal,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
155,Netherlands Antilles,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
156,The Netherlands,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
157,New Caledonia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
158,New Zealand,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
159,Nicaragua,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
160,Niger,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
161,Nigeria,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
162,Niue,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
163,Norfolk Island,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
164,Northern Mariana Islands,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
165,Norway,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
166,Oman,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
167,Pakistan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
168,Palau,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
169,Palestinian Territory Occupied,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
170,Panama,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
171,Papua new Guinea,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
172,Paraguay,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
173,Peru,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
174,Philippines,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
175,Pitcairn Island,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
176,Poland,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
177,Portugal,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
178,Puerto Rico,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
179,Qatar,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
180,Reunion,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
181,Romania,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
182,Russia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
183,Rwanda,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
184,Saint Helena,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
185,Saint Kitts And Nevis,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
186,Saint Lucia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
187,Saint Pierre and Miquelon,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
188,Saint Vincent And The Grenadines,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
189,Saint-Barthelemy,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
190,Saint-Martin (French part),2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
191,Samoa,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
192,San Marino,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
193,Sao Tome and Principe,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
194,Saudi Arabia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
195,Senegal,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
196,Serbia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
197,Seychelles,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
198,Sierra Leone,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
199,Singapore,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
200,Slovakia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
201,Slovenia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
202,Solomon Islands,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
203,Somalia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
204,South Africa,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
205,South Georgia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
206,South Sudan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
207,Spain,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
208,Sri Lanka,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
